"","country","the_1995","the_2010","the_2012","le_1990","le_2010","le_ui_2010","hale_ui_2010","hale_1990","hale_2010","yld_1990","yld_2010"
"1","ARG",649,1312,1550,72.543,75.957,"(75.893–76.024)","(64.133–67.809)",63.164,66.114,9.379,9.84299999999999
"2","AUS",1625,3761,4042,76.869,81.501,"(81.409–81.582)","(67.954–72.027)",66.42,70.096,10.449,11.405
"3","AUT",2253,4517,4812,75.708,80.612,"(80.472–80.741)","(66.926–71.155)",65.787,69.134,9.92099999999999,11.478
"4","BEL",1710,4058,4345,75.916,79.531,"(79.310–79.784)","(66.397–70.485)",65.733,68.542,10.183,10.989
"5","BGR",290,1088,1171,71.386,73.526,"(73.392–73.653)","(62.144–65.771)",62.495,64.103,8.891,9.423
"6","BRA",522,1241,1388,69.108,74.078,"(73.850–74.284)","(61.810–65.597)",59.419,63.826,9.68900000000001,10.252
"7","CAN",2070,4468,4610,77.196,80.634,"(80.430–80.816)","(67.560–71.480)",66.975,69.598,10.221,11.036
"8","CHN",61,441,578,69.272,75.719,"(74.913–76.542)","(66.024–69.317)",61.702,67.771,7.57000000000001,7.94799999999999
"9","CYP",730,2284,2261,78.026,80.226,"(79.875–80.624)","(66.553–70.817)",67.1,68.825,10.926,11.401
"10","CZE",896,1930,2038,71.602,77.523,"(77.412–77.641)","(65.270–69.041)",62.441,67.243,9.161,10.28
"11","DEU",2276,4426,4635,75.367,80.232,"(80.074–80.391)","(66.934–70.919)",65.307,69.019,10.06,11.213
"12","DNK",1872,4545,4615,75.16,78.911,"(78.771–79.073)","(65.808–69.822)",65.299,67.871,9.86099999999999,11.04
"13","ESP",1190,3026,2925,76.914,81.354,"(81.163–81.526)","(68.932–72.684)",67.461,70.92,9.453,10.434
"14","EST",396,1300,1416,69.839,75.89,"(75.608–76.177)","(63.773–67.427)",60.984,65.684,8.855,10.206
"15","FIN",1477,3297,3497,75.088,80.087,"(79.935–80.244)","(64.798–69.575)",63.846,67.304,11.242,12.783
"16","FRA",2098,4039,4213,77.067,80.927,"(80.732–81.114)","(67.310–71.450)",66.519,69.484,10.548,11.443
"17","GBR",1347,3223,3235,75.651,79.906,"(79.858–79.956)","(66.353–70.536)",65.427,68.624,10.224,11.282
"18","GRC",1264,2685,2355,76.919,79.582,"(79.370–79.804)","(66.458–70.606)",66.509,68.668,10.41,10.914
"19","HRV",548,1607,1477,71.892,76.732,"(76.569–76.886)","(63.891–67.805)",61.832,65.995,10.06,10.737
"20","HUN",657,1701,1766,69.381,74.472,"(74.359–74.587)","(62.262–66.045)",60.191,64.247,9.19,10.225
"21","IDN",82,230,273,64.969,69.723,"(68.527–70.945)","(58.975–62.615)",56.17,60.882,8.79899999999999,8.841
"22","IND",63,174,196,58.299,65.213,"(63.517–66.898)","(53.813–58.311)",49.751,56.2,8.548,9.01299999999999
"23","IRL",1190,3796,3817,74.827,79.926,"(79.730–80.111)","(66.622–70.845)",65.244,68.868,9.583,11.058
"24","ITA",1496,3162,3153,76.951,81.47,"(81.312–81.621)","(67.958–72.082)",66.715,70.17,10.236,11.3
"25","JPN",1578,3237,3632,79.102,82.647,"(82.608–82.684)","(71.172–74.781)",70.063,73.096,9.039,9.551
"26","KOR",493,2069,2244,72.132,79.714,"(79.585–79.845)","(68.389–71.963)",63.843,70.301,8.289,9.413
"27","LTU",332,1387,1583,71.254,74.148,"(73.963–74.324)","(62.291–66.008)",61.743,64.29,9.511,9.85799999999999
"28","LUX",2185,6521,6379,75.309,80.169,"(79.768–80.535)","(65.894–70.480)",65.192,68.433,10.117,11.736
"29","LVA",314,1145,1256,69.767,73.87,"(73.657–74.072)","(61.793–65.501)",60.45,63.756,9.31699999999999,10.114
"30","MEX",388,1003,1062,71.525,75.466,"(75.224–75.668)","(65.164–68.413)",62.958,66.907,8.56700000000001,8.559
"31","MLT",897,2327,2530,77.193,80.054,"(79.657–80.478)","(66.300–70.704)",66.577,68.683,10.616,11.371
"32","NLD",1797,5063,5395,77.017,80.587,"(80.491–80.677)","(67.028–70.928)",66.543,69.076,10.474,11.511
"33","POL",406,1432,1509,70.897,76.348,"(76.286–76.412)","(63.958–67.834)",61.539,66.056,9.358,10.292
"34","PRT",1015,2810,2522,74.261,79.363,"(79.249–79.486)","(66.339–70.499)",64.384,68.588,9.877,10.775
"35","ROU",183,964,982,69.858,73.81,"(73.726–73.893)","(62.451–66.072)",60.876,64.358,8.98200000000001,9.452
"36","RUS",301,1410,1529,68.723,68.857,"(68.592–69.092)","(58.273–61.402)",59.73,59.915,8.993,8.942
"37","SAU",759,1566,1990,74.011,77.129,"(76.092–78.098)","(62.657–67.477)",62.456,65.07,11.555,12.059
"38","SVK",504,2039,2065,70.959,75.381,"(75.240–75.520)","(63.433–67.112)",61.236,65.371,9.72300000000001,10.01
"39","SVN",970,2452,2618,73.079,79.279,"(79.052–79.493)","(66.084–70.238)",63.243,68.275,9.83599999999999,11.004
"40","SWE",1742,3762,4041,77.637,81.394,"(81.269–81.515)","(67.403–71.737)",66.814,69.64,10.823,11.754
"41","TUR",174,904,971,67.1,74.361,"(72.799–75.714)","(61.502–66.037)",57.563,63.851,9.53699999999999,10.51
"42","USA",3810,8299,8845,75.203,78.236,"(78.180–78.296)","(66.168–69.584)",65.608,67.928,9.595,10.308
"43","ZAF",478,979,1091,64.634,59.899,"(57.518–61.751)","(48.660–53.166)",55.483,50.982,9.151,8.917
